model_params_billions,prompt_tokens,batch_size,gpu_memory_gb,tokens_per_second
87.2,4574,23,24,499.38
118.4,6556,19,73,631.15
113.4,5728,30,37,640.58
46.9,6770,16,45,468.93
50.2,7808,4,25,539.94
87.4,4590,21,43,471.72
136.0,6918,7,57,678.24
96.6,6593,2,65,560.37
46.0,3721,5,20,346.36
70.0,4141,29,34,468.09
83.8,6684,27,59,685.62
46.2,2536,8,29,307.1
92.4,6509,27,52,586.41
95.9,2199,8,44,337.84
72.0,5945,15,17,510.47
126.6,3234,21,71,478.28
121.2,5723,27,22,594.17
108.8,5151,23,70,572.43
62.1,5165,31,38,459.55
84.9,2401,18,35,355.43
